GENE	COUNT	TYPE	LOG_COUNT	DIFF	LOG2	pvalue
SYNGAP1	14	RELAPSE	1.14612803568	-13	-0.947532580106	0.013955407283825
SOBP	26	RELAPSE	1.41497334797	19	1.89308479608	0.014152073758892
ABI1	17	RELAPSE	1.23044892138	12	1.76553474636	0.01465960322753
AFTPH	18	RELAPSE	1.2552725051	9	1	0.014708769443117
WNT2	10	RELAPSE	1	-8	-0.847996906555	0.014708769443117
RBM47	12	RELAPSE	1.07918124605	10	2.58496250072	0.014708769443117
MAPKAPK2	12	RELAPSE	1.07918124605	10	2.58496250072	0.014708769443117
TSKU	16	RELAPSE	1.20411998266	-8	-0.584962500721	0.014708769443117
MCC	23	RELAPSE	1.36172783602	-13	-0.646363045385	0.014838994023011
NPIPB11	35	RELAPSE	1.54406804435	14	0.736965594166	0.015108339847097
TSC2	42	RELAPSE	1.6232492904	14	0.584962500721	0.015481704175668
IGHV2-5	72	RELAPSE	1.85733249643	-44	-0.688055993685	0.017418480115301
DAXX	29	RELAPSE	1.4623979979	9	0.53605290024	0.017662243723447
AUTS2	24	RELAPSE	1.38021124171	9	0.678071905113	0.017662243723447
SPDYE5	14	RELAPSE	1.14612803568	13	3.80735492206	0.01788179754091
SNTB1	12	RELAPSE	1.07918124605	11	3.58496250072	0.01788179754091
TRIM49C	13	RELAPSE	1.11394335231	10	2.11547721742	0.01788179754091
SOX4	11	RELAPSE	1.04139268516	-11	-1	0.01788179754091
FOXD1	14	RELAPSE	1.14612803568	-20	-1.28010791919	0.01788179754091
APC	47	RELAPSE	1.67209785794	16	0.600392541291	0.018565515486601
KIF26B	43	RELAPSE	1.63346845558	16	0.671377252539	0.018892374010876
ITPR3	7	RELAPSE	0.845098040014	6	2.80735492206	0.01965615725017
EID2	11	RELAPSE	1.04139268516	6	1.13750352375	0.01965615725017
RAVER1	24	RELAPSE	1.38021124171	21	3	0.019659718110335
IGHV3-7	11	RELAPSE	1.04139268516	-11	-1	0.019906512248928
MAP3K10	38	RELAPSE	1.57978359662	17	0.855610090665	0.020136751550346
DIS3	6	RELAPSE	0.778151250384	-15	-1.80735492206	0.022169507867464
PRSS3	297	RELAPSE	2.47275644932	-46	-0.207745645372	0.022628483019522
PGA3	15	RELAPSE	1.17609125906	10	1.58496250072	0.023162072461571
SVIL	19	RELAPSE	1.27875360095	-7	-0.452512204698	0.023410596161117
PDIA3	7	RELAPSE	0.845098040014	-8	-1.09953567355	0.023513322784003
PCLO	32	RELAPSE	1.50514997832	13	0.752072486556	0.023551783739372
C2CD2L	18	RELAPSE	1.2552725051	14	2.16992500144	0.023551783739372
MLLT3	81	RELAPSE	1.90848501888	20	0.409112665322	0.024627082683081
WNK1	29	RELAPSE	1.4623979979	14	0.951090399519	0.024709688809968
IQCJ-SCHIP1	16	RELAPSE	1.20411998266	13	2.41503749928	0.024728467196188
SBNO2	11	RELAPSE	1.04139268516	-12	-1.06413033742	0.024728467196188
ZBTB8A	2	RELAPSE	0.301029995664	-8	-2.32192809489	0.02475202073196
CGNL1	12	RELAPSE	1.07918124605	-8	-0.736965594166	0.02475202073196
SNAPC5	7	RELAPSE	0.845098040014	-8	-1.09953567355	0.02475202073196
BNIP3L	8	RELAPSE	0.903089986992	-11	-1.24792751344	0.02475202073196
FAM193A	15	RELAPSE	1.17609125906	-9	-0.678071905113	0.02475202073196
GOLGA6L7	157	RELAPSE	2.19589965241	-52	-0.412738383189	0.024883995133965
SALL1	48	RELAPSE	1.68124123738	17	0.630766190334	0.02493676299955
FAM155A	47	RELAPSE	1.67209785794	-18	-0.467778961351	0.025674942578765
TTK	9	RELAPSE	0.954242509439	8	3.16992500144	0.026268291382042
CACNA1E	27	RELAPSE	1.43136376416	7	0.432959407276	0.026268291382042
SPPL2C	7	RELAPSE	0.845098040014	-7	-1	0.026268291382042
TMEM132A	7	RELAPSE	0.845098040014	-8	-1.09953567355	0.026268291382042
LMO2	8	RELAPSE	0.903089986992	7	3	0.026268291382042
SEZ6L	8	RELAPSE	0.903089986992	7	3	0.026268291382042
HOXA3	8	RELAPSE	0.903089986992	7	3	0.026268291382042
SYNE2	17	RELAPSE	1.23044892138	8	0.917537839808	0.026268291382042
TRH	9	RELAPSE	0.954242509439	8	3.16992500144	0.026268291382042
FDXR	8	RELAPSE	0.903089986992	-7	-0.906890595609	0.026268291382042
TXLNG	19	RELAPSE	1.27875360095	8	0.788495894806	0.026268291382042
DOCK3	3	RELAPSE	0.47712125472	-7	-1.73696559417	0.026268291382042
ONECUT2	12	RELAPSE	1.07918124605	10	2.58496250072	0.026268291382042
PLXNA2	8	RELAPSE	0.903089986992	7	3	0.026268291382042
CDHR5	9	RELAPSE	0.954242509439	-12	-1.22239242134	0.029028683805149
RYR3	29	RELAPSE	1.4623979979	17	1.27301849441	0.029115420995442
NCOR2	33	RELAPSE	1.51851393988	8	0.400537929584	0.030544849976475
RP1L1	59	RELAPSE	1.77085201164	-25	-0.509674373417	0.030753561259275
SFSWAP	14	RELAPSE	1.14612803568	-10	-0.777607578664	0.031032519500145
POTEJ	28	RELAPSE	1.44715803134	11	0.719892080807	0.031032519500145
CADM1	21	RELAPSE	1.32221929473	11	1.07038932789	0.033104653371923
ZIC5	10	RELAPSE	1	-16	-1.37851162325	0.033227767498443
CABIN1	52	RELAPSE	1.71600334363	20	0.700439718141	0.03344970570795
IGHV1-69D	22	RELAPSE	1.34242268082	-16	-0.788495894806	0.034006402864387
HLA-DRB1	171	RELAPSE	2.23299611039	19	2.169925001442	0.035806959139826
IFFO1	27	RELAPSE	1.43136376416	-13	-0.567040592724	0.036799367856083
TUBA1A	11	RELAPSE	1.04139268516	5	0.874469117916	0.03688842570705
PTPRA	11	RELAPSE	1.04139268516	5	0.874469117916	0.03688842570705
MED12L	21	RELAPSE	1.32221929473	5	0.392317422779	0.03688842570705
SREBF2	22	RELAPSE	1.34242268082	5	0.371968777387	0.03688842570705
YTHDC1	50	RELAPSE	1.69897000434	11	0.358453970912	0.037090460227164
HRCT1	12	RELAPSE	1.07918124605	-29	-1.7725895039	0.037335285412746
FOXA2	9	RELAPSE	0.954242509439	-11	-1.15200309345	0.038506040175993
OSBPL3	3	RELAPSE	0.47712125472	-8	-1.87446911792	0.04006679653817
DAB2IP	28	RELAPSE	1.44715803134	-8	-0.362570079385	0.04006679653817
IL9R	47	RELAPSE	1.67209785794	21	0.854149133537	0.040155711005354
FOXN4	8	RELAPSE	0.903089986992	-11	-1.24792751344	0.040334611386715
GNB2	11	RELAPSE	1.04139268516	10	3.45943161864	0.040334611386715
NBR1	19	RELAPSE	1.27875360095	-10	-0.610053481684	0.040334611386715
ASPH	24	RELAPSE	1.38021124171	12	1	0.040334611386715
MAGI1	59	RELAPSE	1.77085201164	14	0.390789953032	0.040334611386715
GAP43	3	RELAPSE	0.47712125472	-6	-1.58496250072	0.041076902906488
GOLGA6A	17	RELAPSE	1.23044892138	6	0.628031222613	0.041076902906488
PTCHD3	5	RELAPSE	0.698970004336	-6	-1.13750352375	0.041076902906488
ART5	10	RELAPSE	1	9	3.32192809489	0.041830594565245
AK2	82	RELAPSE	1.91381385238	8	0.148098638989	0.041830594565245
ERC2	16	RELAPSE	1.20411998266	7	0.830074998558	0.041830594565245
HOXD11	4	RELAPSE	0.602059991328	-10	-1.80735492206	0.041830594565245
BTNL8	10	RELAPSE	1	8	2.32192809489	0.041830594565245
BICRA	17	RELAPSE	1.23044892138	7	0.765534746363	0.041830594565245
UTP14A	4	RELAPSE	0.602059991328	-8	-1.58496250072	0.041830594565245
SIGLEC9	20	RELAPSE	1.30102999566	7	0.621488376746	0.041830594565245
PABPC1	422	RELAPSE	2.62531245096	47	0.170352403324	0.043178439779834
CDK13	26	RELAPSE	1.41497334797	10	0.700439718141	0.044158502446473
HDAC5	11	RELAPSE	1.04139268516	-10	-0.932885804141	0.044158502446473
CREB3L1	15	RELAPSE	1.17609125906	-9	-0.678071905113	0.046113498652135
RAD51B	7	RELAPSE	0.845098040014	6	2.80735492206	0.047714880237351
PSD3	7	RELAPSE	0.845098040014	6	2.80735492206	0.047714880237351
OR1L4	36	RELAPSE	1.55630250077	6	0.263034405834	0.047714880237351
GOLGA8S	28	RELAPSE	1.44715803134	-6	-0.280107919193	0.047714880237351
DCDC1	7	RELAPSE	0.845098040014	6	2.80735492206	0.047714880237351
PNPLA6	7	RELAPSE	0.845098040014	6	2.80735492206	0.047714880237351
IGSF9B	10	RELAPSE	1	8	2.32192809489	0.047714880237351
ARHGEF26	12	RELAPSE	1.07918124605	6	1	0.047714880237351
DACT3	8	RELAPSE	0.903089986992	7	3	0.047714880237351
GPR88	7	RELAPSE	0.845098040014	6	2.80735492206	0.047714880237351
FLT3LG	12	RELAPSE	1.07918124605	-6	-0.584962500721	0.047714880237351
INAFM2	7	RELAPSE	0.845098040014	6	2.80735492206	0.047714880237351
FBL	2	RELAPSE	0.301029995664	-7	-2.16992500144	0.047714880237351
FAM83B	8	RELAPSE	0.903089986992	7	3	0.047714880237351
DGKE	10	RELAPSE	1	-6	-0.678071905113	0.047714880237351
ZBTB46	16	RELAPSE	1.20411998266	8	1	0.047714880237351
TMEM143	3	RELAPSE	0.47712125472	-6	-1.58496250072	0.047714880237351
DRICH1	13	RELAPSE	1.11394335231	-7	-0.621488376746	0.047714880237351
PKHD1L1	23	RELAPSE	1.36172783602	6	0.436099114807	0.047714880237351
PNMA8A	2	RELAPSE	0.301029995664	-6	-2	0.047714880237351
NUTM2B	20	RELAPSE	1.30102999566	6	0.51457317283	0.047714880237351
KRTAP5-2	23	RELAPSE	1.36172783602	-6	-0.334419039071	0.047714880237351
PARP4	20	RELAPSE	1.30102999566	6	0.51457317283	0.047714880237351
KBTBD7	10	RELAPSE	1	6	1.32192809489	0.047714880237351
TNNI3K	17	RELAPSE	1.23044892138	7	0.765534746363	0.047714880237351
TLX1	8	RELAPSE	0.903089986992	6	2	0.047714880237351
FAT1	43	RELAPSE	1.63346845558	15	0.618909832644	0.047792539140871
IGHG1	36	RELAPSE	1.55630250077	-15	-0.502500340529	0.049118062046948
HLX	27	RELAPSE	1.43136376416	15	1.16992500144	0.04918911042635
BHLHE22	33	RELAPSE	1.51851393988	9	0.459431618637	0.05191748803083
NKX6-1	23	RELAPSE	1.36172783602	12	1.06413033742	0.05191748803083
TRBV6-7	34	RELAPSE	1.53147891704	10	0.502500340529	0.052778588391433
RYK	1	RELAPSE	0	-7	-3	0.05333685282914
WDFY3	19	RELAPSE	1.27875360095	7	0.662965012722	0.05333685282914
NPIPA1	26	RELAPSE	1.41497334797	8	0.530514716699	0.05333685282914
ARID1B	159	RELAPSE	2.20139712432	26	0.257600519783	0.053684558742743
LOC105374013	14	RELAPSE	1.14612803568	-12	-0.893084796083	0.054474035106196
CAMSAP3	18	RELAPSE	1.2552725051	15	2.58496250072	0.054474035106196
OLFML2A	21	RELAPSE	1.32221929473	20	4.39231742278	0.054474035106196
GPR150	1	RELAPSE	0	-9	-3.32192809489	0.054474035106196
FAM13B	9	RELAPSE	0.954242509439	8	3.16992500144	0.054474035106196
HMX3	1	RELAPSE	0	-9	-3.32192809489	0.054474035106196
HNF1A	14	RELAPSE	1.14612803568	-13	-0.947532580106	0.054954921181969
IRS2	48	RELAPSE	1.68124123738	14	0.497499659471	0.055246145031481
ZNF316	33	RELAPSE	1.51851393988	-17	-0.599462070416	0.05582929463924
GOLGA6L22	48	RELAPSE	1.68124123738	19	0.726981505594	0.056237803877276
PRRT2	2	RELAPSE	0.301029995664	-9	-2.45943161864	0.056759446386014
ZNF813	10	RELAPSE	1	-13	-1.20163386117	0.056853793612242
MAML2	50	RELAPSE	1.69897000434	-32	-0.713695814843	0.056925140231394
C11orf95	24	RELAPSE	1.38021124171	-12	-0.584962500721	0.057831277341992
IGHD2-15	25	RELAPSE	1.39794000867	12	0.943416471634	0.057907265417297
KIAA1522	4	RELAPSE	0.602059991328	-18	-2.45943161864	0.058296918814503
GGT2	6	RELAPSE	0.778151250384	-12	-1.58496250072	0.058296918814503
LOC105378193	194	RELAPSE	2.28780172993	-24	-0.16827148259	0.058475261565653
INPPL1	35	RELAPSE	1.54406804435	15	0.807354922058	0.059186299683829
IQSEC3	22	RELAPSE	1.34242268082	-9	-0.49476469175	0.059297559921966
VCAN	19	RELAPSE	1.27875360095	9	0.925999418556	0.059297559921966
NOTCH1	54	RELAPSE	1.73239375982	-23	-0.511899038531	0.062676791964254
RB1	14	RELAPSE	1.14612803568	10	1.80735492206	0.064745384798686
DAG1	1	RELAPSE	0	-7	-3	0.064983144508211
KRTAP4-8	34	RELAPSE	1.53147891704	7	0.332575339087	0.064983144508211
NBPF20	20	RELAPSE	1.30102999566	7	0.621488376746	0.064983144508211
ONECUT1	10	RELAPSE	1	-8	-0.847996906555	0.065501214256931
SLC16A3	8	RELAPSE	0.903089986992	-8	-1	0.065501214256931
RILPL1	15	RELAPSE	1.17609125906	9	1.32192809489	0.065501214256931
GOLGA6D	7	RELAPSE	0.845098040014	-8	-1.09953567355	0.065501214256931
ADM	11	RELAPSE	1.04139268516	8	1.87446911792	0.065501214256931
SYT7	10	RELAPSE	1	8	2.32192809489	0.065501214256931
FLT1	33	RELAPSE	1.51851393988	9	0.459431618637	0.065501214256931
USP32	16	RELAPSE	1.20411998266	10	1.41503749928	0.065501214256931
CCNL2	9	RELAPSE	0.954242509439	6	1.58496250072	0.065787231588455
TNFAIP3	17	RELAPSE	1.23044892138	9	1.08746284125	0.066362066456709
TRBV7-7	153	RELAPSE	2.18469143082	12	0.117836490294	0.066362066456709
PTPRD	21	RELAPSE	1.32221929473	13	1.39231742278	0.068825526144771
SESN2	9	RELAPSE	0.954242509439	6	1.58496250072	0.070759814803057
SASH1	3	RELAPSE	0.47712125472	-6	-1.58496250072	0.070759814803057
GOLGA8H	18	RELAPSE	1.2552725051	6	0.584962500721	0.070759814803057
DDX17	8	RELAPSE	0.903089986992	6	2	0.070759814803057
KCNN3	34	RELAPSE	1.53147891704	6	0.280107919193	0.070759814803057
CCM2L	17	RELAPSE	1.23044892138	8	0.917537839808	0.070759814803057
ATRNL1	7	RELAPSE	0.845098040014	-7	-1	0.070759814803057
RUNX3	15	RELAPSE	1.17609125906	6	0.736965594166	0.070759814803057
NT5E	10	RELAPSE	1	-6	-0.678071905113	0.070759814803057
PHF2	9	RELAPSE	0.954242509439	-9	-1	0.070759814803057
TMEM94	16	RELAPSE	1.20411998266	6	0.678071905113	0.070759814803057
ZNF205	1	RELAPSE	0	-8	-3.16992500144	0.070759814803057
NRG2	28	RELAPSE	1.44715803134	-7	-0.321928094887	0.070759814803057
ITGA9	1	RELAPSE	0	-4	-2.32192809489	0.071860638225852
FBXL12	1	RELAPSE	0	-4	-2.32192809489	0.071860638225852
NUP62	11	RELAPSE	1.04139268516	4	0.65207669658	0.071860638225852
PITX3	11	RELAPSE	1.04139268516	4	0.65207669658	0.071860638225852
NCKAP5	5	RELAPSE	0.698970004336	4	2.32192809489	0.071860638225852
BHLHA15	17	RELAPSE	1.23044892138	-4	-0.304854581528	0.071860638225852
ANKRD44	3	RELAPSE	0.47712125472	-4	-1.22239242134	0.071860638225852
COL14A1	5	RELAPSE	0.698970004336	4	2.32192809489	0.071860638225852
TGM4	5	RELAPSE	0.698970004336	4	2.32192809489	0.071860638225852
ADCK2	4	RELAPSE	0.602059991328	-4	-1	0.071860638225852
GASK1B	14	RELAPSE	1.14612803568	-4	-0.362570079385	0.071860638225852
SATB1	19	RELAPSE	1.27875360095	4	0.341036917835	0.071860638225852
TCEAL4	8	RELAPSE	0.903089986992	4	1	0.071860638225852
GLG1	1	RELAPSE	0	-4	-2.32192809489	0.071860638225852
DNHD1	25	RELAPSE	1.39794000867	4	0.251538766996	0.071860638225852
SEL1L	5	RELAPSE	0.698970004336	4	2.32192809489	0.071860638225852
TNNT2	6	RELAPSE	0.778151250384	4	1.58496250072	0.071860638225852
MCM2	5	RELAPSE	0.698970004336	4	2.32192809489	0.071860638225852
TYSND1	15	RELAPSE	1.17609125906	4	0.447458976971	0.071860638225852
RMDN3	6	RELAPSE	0.778151250384	4	1.58496250072	0.071860638225852
DHRS3	8	RELAPSE	0.903089986992	-4	-0.584962500721	0.071860638225852
HSP90AA1	13	RELAPSE	1.11394335231	-4	-0.387023123109	0.071860638225852
ESX1	34	RELAPSE	1.53147891704	5	0.229481846123	0.072600939449957
CBARP	18	RELAPSE	1.2552725051	5	0.469485283301	0.072600939449957
MAPK1	9	RELAPSE	0.954242509439	5	1.16992500144	0.072600939449957
HMBOX1	5	RELAPSE	0.698970004336	-5	-1	0.072600939449957
LAMB3	12	RELAPSE	1.07918124605	5	0.777607578664	0.072600939449957
NCF1	11	RELAPSE	1.04139268516	-5	-0.540568381363	0.072600939449957
TOX4	15	RELAPSE	1.17609125906	-5	-0.415037499279	0.072600939449957
LILRA2	179	RELAPSE	2.25285303098	10	0.0829363409821	0.073846689693659
TOPAZ1	14	RELAPSE	1.14612803568	9	1.48542682717	0.075935677162229
UNC79	20	RELAPSE	1.30102999566	10	1	0.077671542950862
SCAF1	47	RELAPSE	1.67209785794	-12	-0.328054197684	0.07771418286318
CYP2D6	64	RELAPSE	1.80617997398	-7	-0.149747119505	0.080413215614428
GBX1	20	RELAPSE	1.30102999566	-7	-0.432959407276	0.080413215614428
SEC16A	12	RELAPSE	1.07918124605	7	1.26303440583	0.080413215614428
TCERG1L	20	RELAPSE	1.30102999566	-7	-0.432959407276	0.080413215614428
AEBP2	3	RELAPSE	0.47712125472	-9	-2	0.080708133751193
JPH4	10	RELAPSE	1	-8	-0.847996906555	0.080708133751193
LMNB1	14	RELAPSE	1.14612803568	8	1.22239242134	0.080708133751193
POLG	20	RELAPSE	1.30102999566	-8	-0.48542682717	0.080708133751193
MAPK8IP2	21	RELAPSE	1.32221929473	-8	-0.465663572349	0.080708133751193
MYC	26	RELAPSE	1.41497334797	13	1	0.084963422456102
FGFR4	7	RELAPSE	0.845098040014	-7	-1	0.08627556958253
COL4A2-AS2	46	RELAPSE	1.66275783168	7	0.238159737195	0.08627556958253
TNXB	21	RELAPSE	1.32221929473	7	0.584962500721	0.08627556958253
IRX3	7	RELAPSE	0.845098040014	-6	-0.893084796083	0.088973011701813
KSR1	6	RELAPSE	0.778151250384	5	2.58496250072	0.088973011701813
NOL9	17	RELAPSE	1.23044892138	-6	-0.436099114807	0.088973011701813
LTBP2	6	RELAPSE	0.778151250384	5	2.58496250072	0.088973011701813
PCK1	2	RELAPSE	0.301029995664	-5	-1.80735492206	0.088973011701813
C1orf232	10	RELAPSE	1	6	1.32192809489	0.088973011701813
MED9	19	RELAPSE	1.27875360095	5	0.440572591386	0.088973011701813
FBXW4	15	RELAPSE	1.17609125906	-5	-0.415037499279	0.088973011701813
OR5G3	7	RELAPSE	0.845098040014	5	1.80735492206	0.088973011701813
GCGR	15	RELAPSE	1.17609125906	-5	-0.415037499279	0.088973011701813
ASAH1	1	RELAPSE	0	-5	-2.58496250072	0.088973011701813
MAFA	7	RELAPSE	0.845098040014	5	1.80735492206	0.088973011701813
CD24	1	RELAPSE	0	-5	-2.58496250072	0.088973011701813
CCNK	6	RELAPSE	0.778151250384	5	2.58496250072	0.088973011701813
INHA	7	RELAPSE	0.845098040014	5	1.80735492206	0.088973011701813
UGT2B11	37	RELAPSE	1.56820172407	5	0.209453365629	0.088973011701813
OR8B3	10	RELAPSE	1	5	1	0.088973011701813
PDZRN4	16	RELAPSE	1.20411998266	-5	-0.392317422779	0.088973011701813
CCDC149	19	RELAPSE	1.27875360095	-5	-0.337034987278	0.088973011701813
GTF2F1	25	RELAPSE	1.39794000867	-5	-0.263034405834	0.088973011701813
TOGARAM2	7	RELAPSE	0.845098040014	5	1.80735492206	0.088973011701813
SLC27A3	7	RELAPSE	0.845098040014	5	1.80735492206	0.088973011701813
LRRK2	6	RELAPSE	0.778151250384	5	2.58496250072	0.088973011701813
VWC2	7	RELAPSE	0.845098040014	5	1.80735492206	0.088973011701813
ADAMTSL3	6	RELAPSE	0.778151250384	5	2.58496250072	0.088973011701813
KRT79	1	RELAPSE	0	-6	-2.80735492206	0.088973011701813
STXBP2	10	RELAPSE	1	6	1.32192809489	0.088973011701813
FANCC	7	RELAPSE	0.845098040014	5	1.80735492206	0.088973011701813
CDK8	9	RELAPSE	0.954242509439	-6	-0.736965594166	0.088973011701813
EFHD1	8	RELAPSE	0.903089986992	-5	-0.700439718141	0.088973011701813
PPP1R27	1	RELAPSE	0	-5	-2.58496250072	0.088973011701813
SMARCC2	12	RELAPSE	1.07918124605	-5	-0.502500340529	0.088973011701813
SPINDOC	2	RELAPSE	0.301029995664	-5	-1.80735492206	0.088973011701813
B4GALNT4	8	RELAPSE	0.903089986992	6	2	0.088973011701813
ZFYVE1	1	RELAPSE	0	-5	-2.58496250072	0.088973011701813
DNAH7	7	RELAPSE	0.845098040014	5	1.80735492206	0.088973011701813
NSD2	7	RELAPSE	0.845098040014	6	2.80735492206	0.088973011701813
TBX18	6	RELAPSE	0.778151250384	5	2.58496250072	0.088973011701813
CNNM3	6	RELAPSE	0.778151250384	5	2.58496250072	0.088973011701813
SOS1	6	RELAPSE	0.778151250384	5	2.58496250072	0.088973011701813
SKAP1	3	RELAPSE	0.47712125472	-6	-1.58496250072	0.088973011701813
JUN	16	RELAPSE	1.20411998266	5	0.540568381363	0.088973011701813
SYT15	8	RELAPSE	0.903089986992	-5	-0.700439718141	0.088973011701813
CCER1	6	RELAPSE	0.778151250384	-5	-0.874469117916	0.088973011701813
PHF13	15	RELAPSE	1.17609125906	-5	-0.415037499279	0.088973011701813
PHOSPHO1	12	RELAPSE	1.07918124605	-6	-0.584962500721	0.088973011701813
MAMDC4	6	RELAPSE	0.778151250384	5	2.58496250072	0.088973011701813
IVD	1	RELAPSE	0	-6	-2.80735492206	0.088973011701813
RBM27	6	RELAPSE	0.778151250384	5	2.58496250072	0.088973011701813
NDUFV2	23	RELAPSE	1.36172783602	-5	-0.283792966001	0.088973011701813
IGSF5	7	RELAPSE	0.845098040014	6	2.80735492206	0.088973011701813
SHISA7	6	RELAPSE	0.778151250384	-5	-0.874469117916	0.088973011701813
SERTAD1	13	RELAPSE	1.11394335231	-6	-0.547487795302	0.088973011701813
DHRS4L2	7	RELAPSE	0.845098040014	5	1.80735492206	0.088973011701813
AMIGO1	7	RELAPSE	0.845098040014	5	1.80735492206	0.088973011701813
RANBP10	13	RELAPSE	1.11394335231	-5	-0.469485283301	0.088973011701813
NEB	6	RELAPSE	0.778151250384	5	2.58496250072	0.088973011701813
RORA	6	RELAPSE	0.778151250384	5	2.58496250072	0.088973011701813
KCTD15	5	RELAPSE	0.698970004336	-5	-1	0.088973011701813
BTBD7	17	RELAPSE	1.23044892138	-12	-0.770518153877	0.088973011701813
HYDIN	38	RELAPSE	1.57978359662	8	0.341036917835	0.088984153846874
ZNF90	15	RELAPSE	1.17609125906	13	2.90689059561	0.089886522439784
MYH14	2	RELAPSE	0.301029995664	-14	-3	0.089886522439784
CUX2	21	RELAPSE	1.32221929473	-10	-0.561878887608	0.092303465075633
PRSS2	232	RELAPSE	2.36548798489	-20	-0.119298928372	0.094656206859412
NAP1L3	33	RELAPSE	1.51851393988	-6	-0.241008099504	0.094670719845509
KCNMA1	47	RELAPSE	1.67209785794	-13	-0.352301743931	0.094871007449236
FEZF2	17	RELAPSE	1.23044892138	-13	-0.819427754358	0.094961587591702
RAB15	16	RELAPSE	1.20411998266	6	0.678071905113	0.095335425284999
AKT1	4	RELAPSE	0.602059991328	-6	-1.32192809489	0.095335425284999
DENND5A	2	RELAPSE	0.301029995664	-8	-2.32192809489	0.095335425284999
IRS1	33	RELAPSE	1.51851393988	-6	-0.241008099504	0.095335425284999
TFIP11	11	RELAPSE	1.04139268516	-6	-0.628031222613	0.095335425284999
AMMECR1	25	RELAPSE	1.39794000867	-7	-0.356143810225	0.095335425284999
EPHA3	8	RELAPSE	0.903089986992	-6	-0.807354922058	0.095335425284999
MUC19	1918	RELAPSE	3.28284860283	-84	-0.0618392538179	0.095705303156994
KRTAP4-11	144	RELAPSE	2.1583624921	13	0.136501999905	0.095802717106049
FOXG1	10	RELAPSE	1	-8	-0.847996906555	0.097459234732803
JAKMIP1	8	RELAPSE	0.903089986992	7	3	0.09751253817811
CCDC154	9	RELAPSE	0.954242509439	8	3.16992500144	0.09751253817811
TAOK2	24	RELAPSE	1.38021124171	-8	-0.415037499279	0.09751253817811
NPIPA2	2	RELAPSE	0.301029995664	-12	-2.80735492206	0.09751253817811
RBMS1	11	RELAPSE	1.04139268516	10	3.45943161864	0.09751253817811
NFAT5	34	RELAPSE	1.53147891704	-7	-0.270089163368	0.09751253817811
MARCHF11	8	RELAPSE	0.903089986992	7	3	0.09751253817811
HDGFL2	23	RELAPSE	1.36172783602	-8	-0.43063435433	0.098242190579088
AJUBA	4	RELAPSE	0.602059991328	-8	-1.58496250072	0.098242190579088
LMTK3	28	RELAPSE	1.44715803134	14	1	0.098676563934886
USP7	3	RELAPSE	0.47712125472	-10	-2.11547721742	0.098676563934886
CLEC18B	32	RELAPSE	1.50514997832	-7	-0.285402218862	0.099453479748309
IGHV1-2	96	RELAPSE	1.98227123304	-23	-0.309855262587	0.100348246462291
CASKIN1	11	RELAPSE	1.04139268516	-6	-0.628031222613	0.104757489849731
ZMYM5	16	RELAPSE	1.20411998266	-6	-0.459431618637	0.104757489849731
CCER2	11	RELAPSE	1.04139268516	-8	-0.788495894806	0.104757489849731
C6orf201	14	RELAPSE	1.14612803568	6	0.807354922058	0.104757489849731
