TIPO;TMB;SAMPLE;INS
Plasma-Relapse;6.89;;Discovery Cohort
Plasma-Relapse;4.64;;Discovery Cohort
Plasma-Relapse;8.64;;Discovery Cohort
Plasma-Relapse;5.22;;Discovery Cohort
Plasma-Relapse;13.94;;Discovery Cohort
Plasma-Relapse;7.56;;Discovery Cohort
Plasma-Relapse;8.61;;Discovery Cohort
Plasma-Relapse;17.89;;Discovery Cohort
Plasma-Relapse;8.08;;Discovery Cohort
Plasma-Relapse;9.53;;Discovery Cohort
Plasma-Relapse;28.19;;Discovery Cohort
Plasma-Relapse;9.36;;Discovery Cohort
Plasma-Relapse;9.81;;Discovery Cohort
Plasma-Relapse;8.28;;Discovery Cohort
Plasma-Relapse;8.48;;Discovery Cohort
Plasma-PO;6.28858187905113;;Discovery Cohort
Plasma-PO;2.71686720387806;;Discovery Cohort
Plasma-PO;3.96042632760319;;Discovery Cohort
Plasma-PO;3.26905370100323;;Discovery Cohort
Plasma-PO;3.54979943490056;;Discovery Cohort
Plasma-PO;9.2340443339983;;Discovery Cohort
Plasma-PO;4.42039609543846;;Discovery Cohort
Plasma-PO;3.46434731381667;;Discovery Cohort
Plasma-PO;9.20058463143487;;Discovery Cohort
Plasma-PO;4.62671109413635;;Discovery Cohort
Plasma-PO;4.23298909693554;;Discovery Cohort
Plasma-PO;4.21563809179939;;Discovery Cohort
Plasma-PO;8.16136805834124;;Discovery Cohort
Plasma-PO;3.7273171605424;;Discovery Cohort
Plasma-PO;5.43538911478652;;Discovery Cohort
